Date,pos,neg,net,abs,ShortVolume,ShortExemptVolume,Open,High,Low,Close,Volume,Short Per,Short up,Shortperch,Short Exempt Per,Nextopen
20210224,0.011173184,0.027932961,-0.016759777,0.039106145,8622685,454475,711.85,745,694.17,742.02,36767000,0.234522398,-945155,0.090876019,0.012360949,726.15
20210225,0,0,0,0,9922149,107325,726.15,737.21,670.58,682.22,39023900,0.254258262,1299464,0.019735864,0.002750238,700
20210226,0.04368932,0.019417476,0.024271845,0.063106796,8975550,177209,700,706.7,659.51,675.5,41089200,0.218440612,-946599,-0.03581765,0.004312788,690.11
20210301,0.03030303,0.03030303,0,0.060606061,4846074,56904,690.11,719,685.05,718.43,27136200,0.178583368,-4129476,-0.039857244,0.002096977,718.28
20210302,0.057142857,0,0.057142857,0.057142857,3947426,42052,718.28,721.11,685,686.44,23732200,0.166332072,-898648,-0.012251296,0.001771939,687.99
20210303,0.019607843,0,0.019607843,0.019607843,5645278,51249,687.99,700.7,651.71,653.2,30208000,0.18688023,1697852,0.020548158,0.001696537,655.8
20210304,0.007142857,0.014285714,-0.007142857,0.021428571,11484988,193919,655.8,668.45,600,621.44,65919500,0.174227474,5839710,-0.012652756,0.002941755,626.06
20210305,0.003787879,0.03030303,-0.026515152,0.034090909,14387391,514138,626.06,627.84,539.49,597.95,89396500,0.160939086,2902403,-0.013288388,0.005751209,600.55
20210308,0.03030303,0.015151515,0.015151515,0.045454545,9062980,592176,600.55,620.13,558.79,563,51787000,0.175004924,-5324411,0.014065838,0.011434839,608.18
20210309,0.02739726,0.01369863,0.01369863,0.04109589,17244965,226525,608.18,678.09,595.21,673.58,67523300,0.255392805,8181985,0.080387881,0.003354768,700.3
20210310,0.0390625,0.013020833,0.026041667,0.052083333,17165347,252026,700.3,717.85,655.06,668.06,60605700,0.283229911,-79618,0.027837106,0.004158454,699.4
20210311,0.025477707,0.050955414,-0.025477707,0.076433121,10350117,97667,699.4,702.5,677.18,699.6,36253900,0.285489754,-6815230,0.002259843,0.002693972,670
20210312,0.035294118,0.023529412,0.011764706,0.058823529,9062512,109986,670,694.88,666.14,693.73,33583800,0.269847724,-1287605,-0.01564203,0.003274972,694.09
20210315,0,0,0,0,5669601,88532,694.09,713.18,684.04,707.94,29335600,0.193266918,-3392911,-0.076580806,0.003017903,703.35
20210316,0.088050314,0.012578616,0.075471698,0.100628931,5851103,85863,703.35,707.92,671,676.88,31903400,0.183400609,181502,-0.009866309,0.002691343,656.87
20210317,0,0,0,0,8161392,124001,656.87,703.73,651.01,701.81,40083300,0.203610781,2310289,0.020210171,0.003093583,684.29
20210318,0.111111111,0,0.111111111,0.111111111,8714891,112577,684.29,689.23,652,653.16,33224800,0.262300781,553499,0.058690001,0.003388342,646.6
20210319,0.026315789,0,0.026315789,0.026315789,10354049,129043,646.6,657.23,624.62,654.87,42827400,0.24176226,1639158,-0.020538522,0.003013094,684.59
20210322,0.021052632,0.063157895,-0.042105263,0.084210526,7976568,160377,684.59,699.62,668.75,670,39512200,0.201876079,-2377481,-0.039886181,0.004058924,675.77
20210323,0,0,0,0,5756182,73918,675.77,677.8,657.51,662.16,30491900,0.188777413,-2220386,-0.013098666,0.002424185,667.91
20210324,0.037037037,0,0.037037037,0.037037037,8230714,91245,667.91,668.02,630.11,630.27,33795200,0.243546835,2474532,0.054769422,0.00269994,613
20210325,0.037037037,0,0.037037037,0.037037037,11226107,89783,613,645.5,609.5,640.39,39224900,0.286198486,2995393,0.042651651,0.002288929,641.87
20210326,0,0.025641026,-0.025641026,0.025641026,8734423,89924,641.87,643.82,599.89,618.71,33778400,0.258580128,-2491684,-0.027618358,0.002662175,615.64
20210329,,,,,5417570,76691,615.64,616.48,596.02,611.29,28637000,0.18918078,-3316853,-0.069399348,0.002678039,601.75
20210330,,,,,10482494,128948,601.75,637.66,591.01,635.62,39432400,0.265834542,5064924,0.076653762,0.003270103,646.62
20210331,,,,,9219780,92896,646.62,672,641.11,667.93,33337300,0.276560489,-1262714,0.010725947,0.002786548,
