Date,pos,neg,net,abs,Close,Volume,Open,High,Low,ShortVolume,ShortExemptVolume,Short Per,Short up,Shortperch,Short Exempt Per,Nextopen
20210217,0.076923077,0,0.076923077,0.076923077,5.550000191,38849000,5.579999924,5.619999886,5.320000172,7672592,80731,0.197497799,-5880894,-0.02408858,0.002078072,5.840000153
20210218,0.012195122,0.036585366,-0.024390244,0.048780488,5.510000229,130540800,5.840000153,6.25,5.460000038,20515647,409436,0.157158888,12843055,-0.040338911,0.00313646,5.539999962
20210219,0.032608696,0.032608696,0,0.065217391,5.699999809,40249100,5.539999962,5.769999981,5.510000229,7085211,86868,0.176034023,-13430436,0.018875135,0.002158259,5.929999828
20210222,0.027272727,0.036363636,-0.009090909,0.063636364,6.550000191,173409000,5.929999828,6.679999828,5.75,27032583,606821,0.155889158,19947372,-0.020144865,0.003499363,6.96999979
20210223,0.025641026,0.015384615,0.01025641,0.041025641,7.699999809,264876400,6.96999979,7.860000134,6.010000229,76667619,1296559,0.289446772,49635036,0.133557614,0.004894959,7.230000019
20210224,0.01980198,0.03960396,-0.01980198,0.059405941,9.090000153,376881800,7.230000019,9.829999924,6.989999771,88372521,2592028,0.234483387,11704902,-0.054963385,0.006877562,10.89000034
20210225,0.022277228,0.007425743,0.014851485,0.02970297,8.289999962,445717400,10.89000034,11,7.849999905,117035782,3350425,0.262578445,28663261,0.028095058,0.007516927,8.18999958
20210226,0.016260163,0.01897019,-0.002710027,0.035230352,8.010000229,135675300,8.18999958,9.010000229,7.630000114,35845319,1620761,0.264199298,-81190463,0.001620852,0.011945881,8.859999657
20210301,0.038834951,0.009708738,0.029126214,0.048543689,9.180000305,142922300,8.859999657,9.449999809,8.420000076,35204301,699308,0.246317761,-641018,-0.017881536,0.004892924,9.140000343
20210302,0.022364217,0.019169329,0.003194888,0.041533546,8.930000305,77713600,9.140000343,9.399999619,8.510000229,12938162,317709,0.166485171,-22266139,-0.07983259,0.004088203,8.949999809
20210303,0.025,0.025,0,0.05,8.579999924,55098700,8.949999809,9.140000343,8.5,7720951,209316,0.140129459,-5217211,-0.026355713,0.003798928,8.25
20210304,0,0,0,0,8.029999733,77376100,8.25,8.590000153,7.5,11222230,688777,0.145034836,3501279,0.004905378,0.008901676,8.079999924
20210305,0.022058824,0.022058824,0,0.044117647,8.050000191,59415800,8.079999924,8.270000458,7.630000114,12626758,933785,0.212515156,1404528,0.06748032,0.015716106,8.529999733
20210308,0.012195122,0,0.012195122,0.012195122,9.289999962,113872800,8.529999733,9.479999542,8.31000042,19195246,811775,0.168567437,6568488,-0.043947719,0.007128788,9.380000114
20210309,0.032258065,0.021505376,0.010752688,0.053763441,10.5,148428200,9.380000114,10.77000046,9.220000267,24787390,850787,0.166999196,5592144,-0.001568241,0.005731977,11.02000046
20210310,0.024271845,0.012135922,0.012135922,0.036407767,9.850000381,256641600,11.02000046,12.47000027,9.510000229,78694964,2049619,0.306633702,53907574,0.139634507,0.007986309,10.64999962
20210311,0.01490313,0.023845007,-0.008941878,0.038748137,10.27999973,83589200,10.64999962,10.86999989,9.899999619,25868082,338336,0.309466797,-52826882,0.002833095,0.004047604,10.15999985
20210312,0.042016807,0.016806723,0.025210084,0.058823529,11.15999985,110443600,10.15999985,11.39999962,9.93999958,19671886,595393,0.17811703,-6196196,-0.131349767,0.005390924,12.18000031
20210315,0.037037037,0.074074074,-0.037037037,0.111111111,14.03999996,277713300,12.18000031,14.48999977,11.85000038,61983689,1482849,0.223193088,42311803,0.045076058,0.005339496,13.61999989
20210316,0.051219512,0.009756098,0.041463415,0.06097561,13.02000046,125414400,13.61999989,13.61999989,12.34000015,22416099,1248397,0.178736246,-39567590,-0.044456842,0.009954176,13.23999977
20210317,0.007782101,0.019455253,-0.011673152,0.027237354,13.56000042,73551800,13.23999977,13.65999985,13,10868185,641459,0.147762325,-11547914,-0.03097392,0.008721187,14.34000015
20210318,0.010928962,0.016393443,-0.005464481,0.027322404,14,121418000,14.34000015,14.53999996,13.56999969,17396086,367213,0.143274358,6527901,-0.004487967,0.00302437,14.14000034
20210319,0.068181818,0.034090909,0.034090909,0.102272727,13.93000031,152267000,14.14000034,14.18000031,13.27999973,12230242,216810,0.080321028,-5165844,-0.06295333,0.00142388,13.14999962
20210322,0.076923077,0,0.076923077,0.076923077,12.48999977,88760100,13.14999962,13.18999958,11.76000023,15073612,1324424,0.169824189,2843370,0.089503161,0.014921389,11.46000004
20210323,0,0,0,0,10.65999985,87923200,11.46000004,11.93000031,10.36999989,14369526,1129588,0.1634327,-704086,-0.006391489,0.01284744,10.81999969
20210324,0,0.013157895,-0.013157895,0.013157895,9.020000458,81850700,10.81999969,11.21000004,8.930000305,13036773,1013272,0.159275034,-1332753,-0.004157667,0.012379515,8.960000038
20210325,0.021582734,0.032374101,-0.010791367,0.053956835,10.93999958,131192800,8.960000038,11.31999969,8.949999809,27104084,1399183,0.206597344,14067311,0.04732231,0.01066509,11.27000046
20210326,0.009433962,0.009433962,0,0.018867925,10.23999977,83778100,11.27000046,11.52999973,10.01000023,18040897,564873,0.215341444,-9063187,0.0087441,0.00674249,
20210329,,,,,10.35000038,37330700,10.31999969,10.76000023,10.09000015,7265530,155788,0.194626139,-10775367,-0.020715305,0.004173187,10.31000042
20210330,,,,,10.35000038,39020500,10.31000042,10.52000046,9.760000229,7256141,176816,0.185957151,-9389,-0.008668988,0.004531362,10.39999962
20210331,,,,,10.21000004,29832300,10.39999962,10.47000027,10.05000019,5176175,134547,0.173509082,-2079966,-0.012448068,0.004510112,
